"Article","Product_hier_1","Product_hier_2","Product_hier_3","Country_of_origin","Class","Contents","Crop","Consumer_unit","Price_group","Quality","Item_description"
896941,"vegetables","cucumber","cucumber straight","NL","I","6","kk","stuks",3800,8,"VVKKBIO+ 6ST SEAL KKZ416 BPR BIO 8NL"
896942,"vegetables","cucumber","cucumber straight","NL","I","12","kk","stuks",3800,8,"VVKKBIO+ 12ST SEAL D414TN BPR BIO 8NL"
896943,"vegetables","cucumber","cucumber straight","ES","I","12","kk","stuks",8400,8,"VVR KKBIO+ 12ST SEAFK D414TN BPR BIO 8ES"
896944,"vegetables","cucumber","cucumber straight","NL","I","12","kk","stuks",3800,8,"VVKK 35-40G 12ST SEAL D414TN EP BIO 8NL"
896945,"vegetables","cucumber","cucumber straight","NL","I","25","kk","stuks",3800,8,"VVKK 25ST SEAL D615GW EP BIO 8NL"
896946,"vegetables","cucumber","cucumber straight","NL","I","12","kk","stuks",3800,8,"VVKK 12ST SEAL D421GZ EP BIO 8NL"
896947,"vegetables","cucumber","cucumber straight","ES","I","12","kk","stuks",3800,8,"VVKK 12ST SEAL D414TN EP BIO 8ES"
896948,"vegetables","cucumber","cucumber straight","ES","I","12","kk","stuks",8400,8,"R KK 35-40G 12ST SEAL D414TN EP BIO 8ES"
896949,"vegetables","cucumber","cucumber straight","NL","I","14","kk","stuks",3800,8,"VVKK 14ST SEAL D414TN EP BIO 8NL"
896950,"vegetables","cucumber","cucumber straight","ES","I","14","kk","stuks",3800,8,"VVKK 14ST SEAL D414TN EP BIO 8ES"
896951,"vegetables","cucumber","cucumber straight","ES","I","16","kk","stuks",3800,8,"VVKK 25-30G 16ST SEAL D414TN EP BIO 8ES"
896952,"vegetables","cucumber","cucumber straight","ES","I","12","kk","stuks",3800,8,"VVKK 12ST SEAL FK3811 WP BIO 8ES"
896953,"vegetables","cucumber","cucumber straight","ES","I","6","kk","stuks",3800,8,"VVKKBIOT 6ST SEAL PB415 BPR BIO SP 8ES"
896954,"vegetables","cucumber","cucumber straight","ES","I","6","kk","stuks",3800,8,"VVKKBIOT 6ST SEAL PB415 EP BIO SP 8ES"
896955,"vegetables","cucumber","cucumber straight","NL","I","16","kk","stuks",3800,8,"VVKK 25-30G 16ST SEAL FK3811 WP BIO 8NL"
896956,"vegetables","cucumber","cucumber straight","NL","I","14","kk","stuks",3800,8,"KK 30-35G 14ST SEAFK FK3811 DPA BIO 8NL"
897011,"vegetables","tomato","tomato vine cherry","NL","I","4","trch","kilogram",1586,8,"TRCH FIJNPICC 4KG D412SM DPA 8NL"
897031,"vegetables","tomato","tomato cherry","SN","I","9","tch","250 gram",2405,7,"R TCH 20-25DOON 9X250 SKODZ FK408 PKB7SN"
897032,"vegetables","tomato","tomato cherry","SN","I","9","tch","250 gram",2405,6,"R TCH 20-25DOON 9X250 SKODZ FK408 PKB6SN"
897033,"vegetables","tomato","tomato cherry","SN","II","9","tch","250 gram",2405,5,"R TCH 20-25DOON 9X250 SKODZ FK408 PKB5SN"
897034,"vegetables","tomato","tomato cherry","SN","I","9","tch","250 gram",2405,7,"R TCH 25-30DOON 9X250 SKODZ FK408 PKB7SN"
897035,"vegetables","tomato","tomato cherry","SN","I","9","tch","250 gram",2405,6,"R TCH 25-30DOON 9X250 SKODZ FK408 PKB6SN"
897036,"vegetables","tomato","tomato cherry","SN","II","9","tch","250 gram",2405,5,"R TCH 25-30DOON 9X250 SKODZ FK408 PKB5SN"
897037,"vegetables","tomato","tomato cherry","SN","I","9","tch","250 gram",2405,7,"R TCH 30-35DOON 9X250 SKODZ FK408 PKB7SN"
897038,"vegetables","tomato","tomato cherry","SN","I","9","tch","250 gram",2405,6,"R TCH 30-35DOON 9X250 SKODZ FK408 PKB6SN"
897039,"vegetables","tomato","tomato cherry","SN","II","9","tch","250 gram",2405,5,"R TCH 30-35DOON 9X250 SKODZ FK408 PKB5SN"
897040,"vegetables","tomato","tomato cherry","ES","I","1,5","tch","kilogram",1580,8,"TCH 24-30TOM 1,5KG PM310 KKZ416BPR JU8ES"
897068,"vegetables","tomato","tomato cherry","SN","I","4","tch","kilogram",2405,7,"R TCH 20-25DOON 4KG FK410 PKB 7SN"
897069,"vegetables","tomato","tomato cherry","SN","I","4","tch","kilogram",2405,6,"R TCH 20-25DOON 4KG FK410 PKB 6SN"
897070,"vegetables","tomato","tomato cherry","SN","II","4","tch","kilogram",2405,5,"R TCH 20-25DOON 4KG FK410 PKB 5SN"
897071,"vegetables","tomato","tomato cherry","SN","I","4","tch","kilogram",2405,7,"R TCH 25-30DOON 4KG FK410 PKB 7SN"
897072,"vegetables","tomato","tomato cherry","SN","I","4","tch","kilogram",2405,6,"R TCH 25-30DOON 4KG FK410 PKB 6SN"
