"Article","Product_hier_1","Product_hier_2","Product_hier_3","Country_of_origin","Class","Contents","Crop","Consumer_unit","Price_group","Quality","Item_description"
225527,"exotic fruits","melon","galia","IL","I","5","meloe","kilogram",2143,8,"VVMELOE5SGALI 5KG FK413 PKB 8IL"
225528,"exotic fruits","melon","galia","HN","I","5","meloe","kilogram",2143,8,"VVMELOE5SGALI 5KG FK414 PKB 8HN"
225529,"exotic fruits","melon","galia","BR","I","5","meloe","kilogram",2143,8,"VVMELOE5SGALI 5KG FK414 PKB 8BR"
225530,"exotic fruits","melon","galia","PA","I","6","meloe","kilogram",2143,8,"VVMELOE6SGALI 6KG FK413 PKB 8PA"
225531,"exotic fruits","melon","galia","PA","I","5","meloe","kilogram",2143,8,"VVMELOE6SGALI 5KG FK414 PKB 8PA"
225532,"exotic fruits","melon","galia","BR","I","5","meloe","kilogram",2143,8,"VVMELOE6SGALI 5KG FK413 PKB 8BR"
225533,"exotic fruits","melon","galia","HN","I","5","meloe","kilogram",2143,8,"VVMELOE6SGALI 5KG FK413 PKB 8HN"
225534,"exotic fruits","melon","galia","IL","I","5","meloe","kilogram",2143,8,"VVMELOE6SGALI 5KG FK413 PKB 8IL"
225535,"exotic fruits","melon","galia","ES","I","5","meloe","kilogram",2143,8,"VVMELOE6SGALI 5KG FK413 PKB 8ES"
225541,"exotic fruits","melon","watermelon","ES","I","20","wamel","kilogram",2143,8,"VVR WAMEL 6SFASH 20KG FK622 PKB 8ES"
225542,"exotic fruits","melon","watermelon","ES","I","15","wamel","kilogram",2174,8,"VVWAMEL6SFASH 15KG FK524O PKB 8ES"
225554,"exotic fruits","melon","watermelon","ES","I","15","wamel","kilogram",2174,8,"VVWAMEL6SCRIM 15KG FK524O PKB 8ES"
225555,"exotic fruits","melon","cantaloupe","IT","I","5","meloe","kilogram",2143,8,"VVMELOE4SCANT 5KG FK417 PKB 8IT"
225557,"exotic fruits","melon","cantaloupe","HN","I","6","meloe","kilogram",2174,8,"VVR MELOE 5SCANT 6KG FK414 PKB 8HN"
225558,"exotic fruits","melon","cantaloupe","ES","I","5","meloe","kilogram",2143,8,"VVR MELOE 5SCANT 5KG FK413 PKB 8ES"
225559,"exotic fruits","melon","cantaloupe","BR","I","5","meloe","kilogram",2174,8,"VVR MELOE 5SCANT 5KG FK415 PKB 8BR"
225562,"exotic fruits","melon","cantaloupe","BR","I","5","meloe","kilogram",2174,8,"VVR MELOE 6SCANT 5KG FK415 PKB 8BR"
225564,"exotic fruits","melon","cantaloupe","HN","I","6","meloe","kilogram",2174,8,"VVR MELOE 6SCANT 6KG FK414 PKB 8HN"
225580,"exotic fruits","melon","watermelon","BR","I","16","wamel","kilogram",2174,8,"VVWAMEL5SQUET 16KG FK524O PKB 8BR"
225615,"exotic fruits","melon","watermelon","BR","I","16","wamel","kilogram",2174,8,"VVWAMEL ZP6S 16KG FK616 PKB 8BR"
225616,"exotic fruits","melon","watermelon","ES","I","20","wamel","kilogram",2143,8,"VVR WAMEL ZP 7S 20KG FK622 PKB 8ES"
225617,"exotic fruits","melon","watermelon","ES","I","20","wamel","kilogram",2143,8,"VVR WAMEL ZP 4S 20KG FK622 PKB 8ES"
225618,"exotic fruits","melon","watermelon","ES","I","15","wamel","kilogram",2143,8,"VVR WAMEL ZP 6S 15KG FK622 PKB 8ES"
225619,"exotic fruits","melon","watermelon","ES","I","17","wamel","kilogram",2174,8,"VVWAMEL ZP6S 17KG FK622 PKB 8ES"
225620,"exotic fruits","melon","watermelon","ES","I","18","wamel","kilogram",2174,8,"VVWAMEL ZP6S 18KG FK622 PKB 8ES"
225622,"exotic fruits","melon","watermelon","ES","I","20","wamel","kilogram",2143,8,"VVR WAMEL ZP 6S 20KG FK622 PKB 8ES"
225623,"exotic fruits","melon","watermelon","ES","I","15","wamel","kilogram",2174,8,"VVWAMEL ZP6S 15KG FK524O PKB 8ES"
225626,"exotic fruits","melon","watermelon","PA","I","18","wamel","kilogram",2174,8,"VVWAMEL6SQUET 18KG FK524O PKB 8PA"
225627,"exotic fruits","melon","watermelon","PA","I","16","wamel","kilogram",2174,8,"VVWAMEL6SQUET 16KG FK616 PKB 8PA"
225628,"exotic fruits","melon","watermelon","PA","I","17","wamel","kilogram",2174,8,"VVWAMEL6SQUET 17KG FK616 PKB 8PA"
225629,"exotic fruits","melon","watermelon","BR","I","16","wamel","kilogram",2174,8,"VVWAMEL7SQUET 16KG FK616 PKB 8BR"
225630,"exotic fruits","melon","watermelon","BR","I","16","wamel","kilogram",2174,8,"VVR WAMEL 6SQUET 16KG FK616 PKB 8BR"
225631,"exotic fruits","melon","watermelon","CR","I","18","wamel","kilogram",2174,8,"VVWAMEL6SQUET 18KG FK524O PKB 8CR"
225632,"exotic fruits","melon","watermelon","CR","I","16","wamel","kilogram",2174,8,"VVWAMEL6SQUET 16KG FK616 PKB 8CR"
225633,"exotic fruits","melon","watermelon","BR","I","16","wamel","kilogram",2174,8,"R WAMEL 5SQUET 16KG FK616 PKB 8BR"
225634,"exotic fruits","melon","watermelon","PA","I","18","wamel","kilogram",2174,8,"VVWAMEL5SQUET 18KG FK524O PKB 8PA"
225635,"exotic fruits","melon","watermelon","PA","I","17","wamel","kilogram",2174,8,"VVWAMEL 5SQUET 17KG FK616 PKB 8PA"
225638,"exotic fruits","melon","piel de sapo","ES","I","6","meloe","kilogram",2143,8,"VVMELOE6SPDS 6KG FK513 PKB 8ES"
225639,"exotic fruits","melon","piel de sapo","ES","I","9","meloe","kilogram",2143,8,"VVR MELOE 8SPDS 9KG FK513 PKB 8ES"
225641,"exotic fruits","melon","piel de sapo","ES","I","9","meloe","kilogram",2143,8,"VVMELOE7SPDS 9KG FK513 PKB 8ES"
225642,"exotic fruits","melon","piel de sapo","ES","I","12","meloe","kilogram",2143,8,"VVMELOE6SPDS 12KG FK428 PKB 8ES"
225643,"exotic fruits","melon","piel de sapo","ES","I","14","meloe","kilogram",2143,8,"VVMELOE6SPDS 14KG FK614 PKB 8ES"
225644,"exotic fruits","melon","piel de sapo","ES","I","10","meloe","kilogram",2143,8,"VVMELOE6SPDS 10KG FK5417 PKB 8ES"
225645,"exotic fruits","melon","piel de sapo","ES","I","9","meloe","kilogram",2143,8,"VVR MELOE 6SPDS 9KG FK513 PKB 8ES"
225646,"exotic fruits","melon","piel de sapo","ES","I","9","meloe","kilogram",2143,8,"VVMELOE9SPDS 9KG FK513 PKB 8ES"
225664,"exotic fruits","melon","yellow hd","ES","I","9","meloe","kilogram",2143,8,"VVMELOE GE8SHOND 9KG FK513 PKB 8ES"
225665,"exotic fruits","melon","yellow hd","BR","I","10","meloe","kilogram",2143,8,"VVMELOE GE8SHOND 10KG FK5417 PKB 8BR"
225666,"exotic fruits","melon","yellow hd","CR","I","10","meloe","kilogram",2143,8,"VVMELOE GE6SHOND 10KG FK5417 PKB 8CR"
225667,"exotic fruits","melon","yellow hd","ES","I","9","meloe","kilogram",2143,8,"VVMELOE GE6SHOND 9KG FK513 PKB 8ES"
225668,"exotic fruits","melon","yellow hd","BR","I","10","meloe","kilogram",2143,8,"VVMELOE GE6SHOND 10KG FK5417 PKB 8BR"
225669,"exotic fruits","melon","yellow hd","PA","I","10","meloe","kilogram",2143,8,"VVMELOE GE6SHOND 10KG FK5417 PKB 8PA"
225670,"exotic fruits","melon","yellow hd","CR","I","10","meloe","kilogram",2174,8,"VVR MELOE GE 7SHOND 10KG FK5417 PKB 8CR"
225671,"exotic fruits","melon","yellow hd","BR","I","10","meloe","kilogram",2143,8,"VVMELOE GE7SHOND 10KG FK5417 PKB 8BR"
225672,"exotic fruits","melon","galia","ES","I","10","meloe","kilogram",2143,8,"VVMELOE10SGALI 10KG KK618 PP 8ES"
225673,"exotic fruits","melon","yellow hd","ES","I","9","meloe","kilogram",2143,8,"VVR MELOE GE 5SHOND 9KG FK513 PKB 8ES"
225674,"exotic fruits","melon","galia","BR","I","5","meloe","kilogram",2143,8,"VVMELOE4SGALI 5KG FK414 PKB 8BR"
225675,"exotic fruits","melon","galia","ES","I","5","meloe","kilogram",2143,8,"VVR MELOE 4SGALI 5KG FK414 PKB 8ES"
225676,"exotic fruits","melon","galia","PA","I","6","meloe","kilogram",2143,8,"VVMELOE5SGALI 6KG FK413 PKB 8PA"
225677,"exotic fruits","melon","galia","PA","I","5","meloe","kilogram",2143,8,"VVMELOE5SGALI 5KG FK414 PKB 8PA"
225678,"exotic fruits","melon","galia","ES","I","5","meloe","kilogram",2143,8,"VVMELOE 5SGALI 5KG FK414 PKB 8ES"
225679,"exotic fruits","melon","galia","IL","I","5","meloe","kilogram",2143,8,"VVMELOE5SGALI 5KG FK413 PKB 8IL"
225680,"exotic fruits","melon","galia","HN","I","5","meloe","kilogram",2174,8,"VVR MELOE 5SGALI 5KG FK414 PKB 8HN"
225681,"exotic fruits","melon","galia","BR","I","5","meloe","kilogram",2174,8,"VVR MELOE 5SGALI 5KG FK414 PKB 8BR"
225682,"exotic fruits","melon","galia","PA","I","6","meloe","kilogram",2143,8,"VVMELOE6SGALI 6KG FK413 PKB 8PA"
225683,"exotic fruits","melon","galia","PA","I","5","meloe","kilogram",2143,8,"VVMELOE6SGALI 5KG FK414 PKB 8PA"
225684,"exotic fruits","melon","galia","BR","I","5","meloe","kilogram",2174,8,"VVR MELOE 6SGALI 5KG FK413 PKB 8BR"
225685,"exotic fruits","melon","galia","HN","I","5","meloe","kilogram",2174,8,"VVMELOE 6SGALI 5KG FK413 PKB 8HN"
225686,"exotic fruits","melon","galia","IL","I","5","meloe","kilogram",2143,8,"VVMELOE6SGALI 5KG FK413 PKB 8IL"
225687,"exotic fruits","melon","galia","ES","I","5","meloe","kilogram",2143,8,"VVR MELOE 6SGALI 5KG FK413 PKB 8ES"
225699,"exotic fruits","melon","watermelon","ES","I","20","wamel","kilogram",2143,8,"VVR WAMEL ZP 6S 20KG FK622 PKE 8ES"
225707,"exotic fruits","melon","cantaloupe","ES","I","5","meloe","kilogram",2143,8,"VVR MELOE 4SCANT 5KG FK417 PKB 8ES"
225717,"exotic fruits","melon","cantaloupe","ES","I","10","meloe","kilogram",2143,8,"VVMELOE10SCANT 10KG D621HL EP AN 8ES"
225718,"exotic fruits","melon","cantaloupe","HN","I","2","meloe","5 stuks",2174,8,"VVMELOE 5SCANT 2X5ST ZAKZE D616HL EP AN8"
225725,"exotic fruits","melon","yellow hd","BR","I","10","meloe","kilogram",2143,8,"VVMELOE GE7SHOND 10KG D616HL EP AN 8BR"
225728,"exotic fruits","melon","cantaloupe","BR","I","2","meloe","5 stuks",2174,8,"VVMELOE 5SCANT 2X5ST ZAKZE D615HL EP AN8"
225745,"exotic fruits","melon","cantaloupe","CR","I","5","meloe","kilogram",2174,8,"VVMELOE 6SGEN CANT 5KG FK414 PKB 8CR"
225746,"exotic fruits","melon","cantaloupe","CR","I","6","meloe","kilogram",2143,8,"VVMELOE6SGEN CANT 6KG FK414 PKB 8CR"
225792,"exotic fruits","melon","watermelon","BR","I","16","wamel","kilogram",2174,8,"VVWAMEL ZP4SGEN 16KG FK616 PKB 8BR"
225793,"exotic fruits","melon","watermelon","BR","I","16","wamel","kilogram",2174,8,"VVWAMEL ZP3SGEN 16KG FK616 PKB 8BR"
225794,"exotic fruits","melon","watermelon","ES","I","18","wamel","kilogram",2174,8,"VVWAMEL ZP3SGEN 18KG FK622 PKB 8ES"
225795,"exotic fruits","melon","watermelon","ES","I","15","wamel","kilogram",2174,8,"VVWAMEL ZP2SGEN 15KG FK524O PKB 8ES"
225796,"exotic fruits","melon","watermelon","BR","I","16","wamel","kilogram",2174,8,"VVWAMEL ZP5SGEN 16KG FK616 PKB 8BR"
