"Article","Product_hier_1","Product_hier_2","Product_hier_3","Country_of_origin","Class","Contents","Crop","Consumer_unit","Price_group","Quality","Item_description"
813119,"soft fruits","blackberry","blackberry","NL","I","12","braa","125 gram",1375,7,"VVBRAALOCH 12X125 SKRT DZ407M PP 7NL"
813120,"soft fruits","blackberry","blackberry","NL","I","12","braa","125 gram",1375,8,"BRAALOCH 12X125 SKRT DZ407M DPA 8NL"
813121,"soft fruits","blackberry","blackberry","NL","I","12","braa","125 gram",1375,8,"BRAALOCH 12X125 SKRT DZ407M DPA GL 8NL"
813122,"soft fruits","blackberry","blackberry","NL","I","12","braa","125 gram",1375,9,"VVBRAALOCH 12X125 SKRT DZ407M DPA 9NL"
813123,"soft fruits","raspberry","raspberry","NL","I","12","fram","125 gram",1425,8,"VVFRAM GE 12X125 SKRT DZ407M DPA 8NL"
813124,"soft fruits","raspberry","raspberry","NL","I","12","fram","125 gram",1425,7,"VVFRAM GE 12X125 SKRT DZ407M DPA 7NL"
813125,"soft fruits","raspberry","raspberry","NL","I","12","fram","125 gram",1425,6,"VVFRAM GE 12X125 SKRT DZ407M DPA 6NL"
813126,"soft fruits","raspberry","raspberry","NL","I","12","fram","125 gram",1425,8,"FRAM 12X125 SKRT DZ407M DPA 8NL"
813127,"soft fruits","raspberry","raspberry","NL","I","12","fram","125 gram",1425,6,"FRAM 12X125 SKRT DZ407M DPA 6NL"
813128,"soft fruits","raspberry","raspberry","NL","I","12","fram","125 gram",1425,9,"VVFRAMKWAN 12X125 SKRT DZ407M DPA 9NL"
813129,"soft fruits","raspberry","raspberry","NL","I","12","fram","125 gram",1425,7,"FRAMKWAN 12X125 SKRT DZ407M DPA 7NL"
813130,"soft fruits","raspberry","raspberry","NL","I","12","fram","125 gram",1425,8,"FRAMKWAN 12X125 SKRT DZ407M DPA 8NL"
813131,"soft fruits","raspberry","raspberry","DE","I","12","fram","125 gram",1425,8,"VVFRAM MIKWAN 12X125 SKRT DZ407M DPA 8DE"
813132,"soft fruits","raspberry","raspberry","DE","I","12","fram","125 gram",1425,7,"VVFRAM MIKWAN 12X125 SKRT DZ407M DPA 7DE"
813133,"soft fruits","raspberry","raspberry","NL","I","12","fram","125 gram",1425,7,"FRAM GRKWAN 12X125 SKRT DZ407M DPA 7NL"
813134,"soft fruits","raspberry","raspberry","NL","I","12","fram","125 gram",1425,9,"VVFRAM GRKWAN 12X125 SKRT DZ407M DPA 9NL"
813135,"soft fruits","raspberry","raspberry","NL","I","12","fram","125 gram",1425,8,"FRAM GRKWAN 12X125 SKRT DZ407M DPA 8NL"
813136,"soft fruits","raspberry","raspberry","DE","I","12","fram","125 gram",1425,8,"VVFRAM GRKWAN 12X125 SKRT DZ407M DPA 8DE"
813137,"soft fruits","raspberry","raspberry","DE","I","12","fram","125 gram",1425,7,"VVFRAM GRKWAN 12X125 SKRT DZ407M DPA 7DE"
813516,"soft fruits","raspberry","raspberry","PT","I","8","fram","125 gram",2805,6,"VVR FRAM 8X125 SKOD FK411 PKB 6PT"
813517,"soft fruits","raspberry","raspberry","MA","I","8","fram","125 gram",2805,8,"VVR FRAMGEN 8X125 SKOD FK411 PKB 8MA"
813518,"soft fruits","raspberry","raspberry","PT","I","10","fram","250 gram",2805,6,"VVFRAM 10X250 SKOD FK607 PKB 6PT"
813519,"soft fruits","raspberry","raspberry","ES","I","12","fram","125 gram",2805,6,"VVR FRAM 12X125 SKOD FK411 PKB 6ES"
813520,"soft fruits","raspberry","raspberry","MA","I","12","fram","125 gram",2805,6,"VVFRAM 12X125 SKOD FK411 PKB 6MA"
813521,"soft fruits","raspberry","raspberry","MA","I","12","fram","125 gram",2805,8,"R FRAMGEN 12X125 SKOD FK411 PKB 8MA"
